Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_680.jpg;0;0;1;0;100.0957;89.09439;0.0002393672;233.4153;4.906241E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_722.jpg;0;0;0;0;100.0957;89.09439;0.0002408512;233.4153;4.497567E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_772.jpg;0;0;0;0;100.0957;89.09439;0.000243077;233.4153;3.884556E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_823.jpg;0;0;0;0;100.0957;89.09439;0.0002444596;233.4153;3.442387E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_867.jpg;0;0;0;0;100.0957;89.09439;0.0002457409;233.4153;2.966719E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_914.jpg;0;0;0;0;100.0957;89.09439;0.0002474601;233.4153;2.186225E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_53_960.jpg;0;0;0;0;100.0957;89.09439;0.0002484374;233.4153;1.610069E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_009.jpg;0;0;0;0;100.0957;89.09439;0.0002497513;233.4153;6.955996E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_059.jpg;0;0;0;0;100.0957;89.09439;0.0002504246;233.4153;1.894857E-08
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_100.jpg;0;0;0;0;100.0957;89.09439;0.0002508617;233.4153;-6.233619E-07
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_151.jpg;0;0;0;0;100.0957;89.09439;0.000251298;233.4153;-1.603151E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_197.jpg;0;0;0;0;100.0957;89.09439;0.000251499;233.4153;-2.211127E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_238.jpg;0;0;0;0;100.0957;89.09439;0.0002514638;233.4153;-2.784763E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_279.jpg;0;0;0;0;100.0957;89.09439;0.0002513106;233.4153;-3.341222E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_320.jpg;0;0;0;0;100.0957;89.09439;0.000251025;233.4153;-2.817417E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_362.jpg;0;0;0;0;100.0957;89.09439;0.0002505175;233.4153;-3.322378E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_403.jpg;0;0;0;0;100.0957;89.09439;0.0002499933;233.4153;-3.776681E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_445.jpg;0;0;0;0;100.0957;89.09439;0.0002492329;233.4153;-4.19665E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_487.jpg;0;0;0;0;100.0957;89.09439;0.0002484583;233.4153;-3.553499E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_529.jpg;0;0;0;0;100.0957;89.09439;0.0002469384;233.4153;-4.055946E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_571.jpg;0;0;0;0;100.0957;89.09439;0.0002459083;233.4153;-4.340246E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_613.jpg;0;0;0;0;100.0957;89.09439;0.0002446589;233.4153;-4.64087E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_654.jpg;0;0;0;0;100.0957;89.09439;0.0002433759;233.4153;-4.840178E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_701.jpg;-1.932021;0;0;0;100.0957;89.09439;0.0002428268;233.2803;-4.2371E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_749.jpg;-4.151574;0;0;0;100.0957;89.09439;0.0002417133;232.6908;-1.636462E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\vision_img_with_narrow path obstacles & with path\IMG\robocam_2020_12_15_17_51_54_801.jpg;-6.398536;0;0;0;100.0957;89.09439;0.000241516;232.0024;7.32246E-07
