Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_23_940.jpg;0;0;1;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_23_953.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_23_994.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_035.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_076.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_120.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_160.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_206.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_248.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_291.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_333.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_376.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_419.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_465.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_509.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_552.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_594.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_639.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_688.jpg;0;0;0;0;97.70483;87.04349;0.0002345095;136.7146;1.431402E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_730.jpg;0;0;0;0;97.70483;87.04349;0.0002347055;136.7146;1.346775E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_781.jpg;0;0;0;0;97.70483;87.04349;0.0002348035;136.7146;1.304468E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_826.jpg;0;0;0;0;97.70483;87.04349;0.0002348035;136.7146;1.304468E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_877.jpg;0;0;0;0;97.70483;87.04349;0.0002348035;136.7146;1.304468E-06
C:\D drive\Fall 2020\EC500\project\EC500_project\code\data\IMG\robocam_2020_12_15_22_42_24_922.jpg;0;0;0;0;97.70483;87.04349;0.0002348035;136.7146;1.304468E-06
